"Source:","/home/travis/e-cribbage/KiCAD/e-cribbage.sch"
"Date:","Wed 29 Jul 2020 05:02:40 PM CDT"
"Tool:","Eeschema 5.1.4+dfsg1-1"
"Component Count:","577"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"R200","1k","e-cribbage:R_0603","~","",""
"R201","1k","e-cribbage:R_0603","~","",""
"R202","1k","e-cribbage:R_0603","~","",""
"R203","1k","e-cribbage:R_0603","~","",""
"R204","1k","e-cribbage:R_0603","~","",""
"R205","1k","e-cribbage:R_0603","~","",""
"R206","1k","e-cribbage:R_0603","~","",""
"R207","1k","e-cribbage:R_0603","~","",""
"R208","1k","e-cribbage:R_0603","~","",""
"R209","1k","e-cribbage:R_0603","~","",""
"R210","1k","e-cribbage:R_0603","~","",""
"R211","1k","e-cribbage:R_0603","~","",""
"R212","1k","e-cribbage:R_0603","~","",""
"R213","1k","e-cribbage:R_0603","~","",""
"R214","1k","e-cribbage:R_0603","~","",""
"R215","1k","e-cribbage:R_0603","~","",""
"R216","1k","e-cribbage:R_0603","~","",""
"R217","1k","e-cribbage:R_0603","~","",""
"R218","1k","e-cribbage:R_0603","~","",""
"R219","1k","e-cribbage:R_0603","~","",""
"R220","1k","e-cribbage:R_0603","~","",""
"R221","1k","e-cribbage:R_0603","~","",""
"R222","1k","e-cribbage:R_0603","~","",""
"R223","1k","e-cribbage:R_0603","~","",""
"R224","1k","e-cribbage:R_0603","~","",""
"R225","1k","e-cribbage:R_0603","~","",""
"R226","1k","e-cribbage:R_0603","~","",""
"R227","1k","e-cribbage:R_0603","~","",""
"R228","1k","e-cribbage:R_0603","~","",""
"R229","1k","e-cribbage:R_0603","~","",""
"R230","1k","e-cribbage:R_0603","~","",""
"R231","1k","e-cribbage:R_0603","~","",""
"R232","1k","e-cribbage:R_0603","~","",""
"R233","1k","e-cribbage:R_0603","~","",""
"R234","1k","e-cribbage:R_0603","~","",""
"R235","1k","e-cribbage:R_0603","~","",""
"R236","1k","e-cribbage:R_0603","~","",""
"R237","1k","e-cribbage:R_0603","~","",""
"R238","1k","e-cribbage:R_0603","~","",""
"R239","1k","e-cribbage:R_0603","~","",""
"R240","1k","e-cribbage:R_0603","~","",""
"R243","10k","e-cribbage:R_0603","~","",""
"R244","10k","e-cribbage:R_0603","~","",""
"R246","10k","e-cribbage:R_0603","~","",""
"R247","10k","e-cribbage:R_0603","~","",""
"R251","47k","e-cribbage:R_0603","~","",""
"S1","GPTS203211B","Buttons_Switches_SMD:SW_SPST_B3SL-1002P","http://switches-connectors-custom.cwind.com/Asset/GPTS203211BR2.pdf","CW Industries",""
"S2","GPTS203211B","Buttons_Switches_SMD:SW_SPST_B3SL-1002P","http://switches-connectors-custom.cwind.com/Asset/GPTS203211BR2.pdf","CW Industries",""
"S3","GPTS203211B","Buttons_Switches_SMD:SW_SPST_B3SL-1002P","http://switches-connectors-custom.cwind.com/Asset/GPTS203211BR2.pdf","CW Industries",""
"S4","GPTS203211B","Buttons_Switches_SMD:SW_SPST_B3SL-1002P","http://switches-connectors-custom.cwind.com/Asset/GPTS203211BR2.pdf","CW Industries",""
"S5","EG1218","Button_Switch_SMD:SW_SPDT_CK-JS102011SAQN","http://spec_sheets.e-switch.com/specs/P040040.pdf","E-Switch",""
"U1","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U2","MSP430F2012IPW","digikey-footprints:TSSOP-14_W4.4mm","http://www.ti.com/lit/ds/symlink/msp430f2012.pdf","",""
"U3","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U4","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U5","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U6","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U7","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U8","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U9","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U10","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U11","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U12","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U13","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U14","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U15","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U16","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U17","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U18","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U19","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U20","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U21","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U22","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U23","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U24","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U25","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U26","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U27","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U28","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U29","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U30","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U31","74HC595D_118","digikey-footprints:TSSOP-16_W4.40mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf","Nexperia USA Inc.",""
"U32","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U33","TPS22929D","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps22929d.pdf","",""
"U34","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U35","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U36","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U37","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U38","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U39","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U40","SN74LVC1G08DBVR","digikey-footprints:SOT-753","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g08","Texas Instruments",""
"U41","TLV71333PDBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv713p.pdf","",""
